Author,Title,Year,Location,
Harper Lee,To Kill a Mockingbird,1960,Alabama,
Dashiell Hammett,The Glass Key,1931,Baltimore,
Graham Greene,Brighton Rock,1938,Brighton,
Dashiell Hammett,Red Harvest,1929,Butte,
Mary Higgins Clark,Where Are the Children?,1975,Cape Cod,
W. R. Burnett,Little Caesar,1929,Chicago,
Geoffrey Household,Rogue Male,1939,Dorset,
John le Carre,The Spy Who Came In From the Cold,1963,East Germany,
Elizabeth Peters,Crocodile on the Sandbank,1975,Egypt,
Wilkie Collins,The Moonstone,1868,English Countryside,
E. C. Bentley,Trent's Last Case,1913,English Countryside,
Josephine Tey,The Franchise Affair,1948,English Countryside,
Ruth Rendell,A Judgement in Stone,1977,English Countryside,
Josephine Tey,Brat Farrar,1950,English Countryside,
Ellis Peters,A Morbid Taste for Bones,1977,English Countryside,Shrewsbury Abbey,
Agatha Christie,The Murder of Roger Ackroyd,1926,Fictional Village of King's Abbott in England,
John Buchan,The Thirty-Nine Steps,1915,Galloway,
W. Somerset Maugham,Ashenden,1928,Geneva| Naples| Paris| Petrograd,
Graham Greene,Our Man in Havana,1958,"Havana, Cuba",
Margaret Millar,Beast in View,1955,Hollywood,
Agatha Christie,And Then There Were None,1939,Devonshire Coast,
John le Carre,The Little Drummer Girl,1983,Israel,
Eric Ambler,A Coffin for Dimitrios,1939,Istanbul,
Ian Fleming,"From Russia, with Love",1957,Istanbul,Orient Express,
Patricia Highsmith,The Talented Mr. Ripley,1955,Italy,
Truman Capote,In Cold Blood,1966,Kansas,
Author,Title,Year,Location,
Wilkie Collins,The Woman in White,1860,London,
Arthur Conan Doyle,The Complete Sherlock Holmes,1887-1927,London,
Josephine Tey,The Daughter of Time,1951,London,Tower of London,
Agatha Christie,The Witness for the Prosecution,1948,London,
John Mortimer,Rumpole of the Bailey,1978,London,
John Le Carre,"Tinker, Tailor, Soldier, Spy",1974,London,
Dorothy L. Sayers,Strong Poison,1930,London,
Len Deighton,The IPCRESS File,1962,London,
Dorothy L. Sayers,Murder Must Advertise,1933,London,
G. K. Chesterton,The Innocence of Father Brown,1911,London,
John le Carre,Smiley's People,1979,London,
Peter Lovesey,Wobble to Death,1970,London,
Bram Stoker,Dracula,1897,London,
Michael Gilbert,Smallbone Deceased,1950,London,
P. D. James,Shroud for a Nightingale,1971,London,
Joseph Conrad,The Secret Agent,1907,London,
John Dickson Carr,The Three Coffins,1935,London,
Edgar Allan Poe,Tales of Mystery & Imagination,1852,London | South Carolina | Italy| Norway| Spain| Paris| Hungary| Paris,
Raymond Chandler,The Big Sleep,1939,Los Angeles,
Raymond Chandler,The Long Goodbye,1953,Los Angeles,
Raymond Chandler,Farewell My Lovely,1940,Los Angeles,
Gregory Mcdonald,Fletch,1974,Los Angeles,
James M. Cain,Double Indemnity,1943,Los Angeles,
Ross Thomas,Chinaman's Chance,1978,Los Angeles,
Ross Macdonald,The Chill,1963,Los Angeles,
Walter Mosley,Devil in a Blue Dress,1990,Los Angeles,
Joseph Wambaugh,The Choirboys,1975,Los Angeles,
Hillary Waugh,Last Seen Wearing ...,1952,Massachusetts,
George V. Higgins,The Friends of Eddie Coyle,1972,Massachusetts,
John Grisham,The Firm,1991,Memphis,
Elmore Leonard,Stick,1983,Miami,
John Grisham,A Time to Kill,1989,Mississippi,
Martin Cruz Smith,Gorky Park,1981,Moscow,
Tony Hillerman,Dance Hall of the Dead,1973,New Mexico,
Tony Hillerman,A Thief of Time,1989,New Mexico,
Mario Puzo,The Godfather,1969,New York City,
Dashiell Hammett,The Thin Man,1934,New York City,
Donald E. Westlake,The Hot Rock,1970,New York City,
Vera Caspary,Laura,1942,New York City,
Mickey Spillane,"I, the Jury",1947,New York City,
Donald E. Westlake,Bank Shot,1972,New York City,
Lawrence Sanders,The First Deadly Sin,1973,New York City,
Rex Stout,The Doorbell Rang,1965,New York City,
Donald E. Westlake,God Save the Mark,1967,New York City,
Richard Condon,Prizzi's Honor,1982,New York City,
Jack Finney,Time and Again,1970,New York City,
Ira Levin,Rosemary's Baby,1967,New York City,
Umberto Eco,The Name of the Rose,1980,Italy,
Dorothy L. Sayers,Gaudy Night,1935,Oxford,
Edmund Crispin,The Moving Toyshop,1946,Oxford,
Frederick Forsyth,The Day of the Jackal,1971,Paris,
Tom Clancy,The Hunt for Red October,1984,Polyarny,
Charles Dickens,The Mystery of Edwin Drood,1870,Rochester,
James M. Cain,The Postman Always Rings Twice,1934,rural california,
Dashiell Hammett,The Maltese Falcon,1930,San Francisco,
Sue Grafton,"""A"" is for Alibi",1982,Santa Barbara,
Raymond Chandler,The Lady in the Lake,1943,Santa Monica,
James McClure,The Steam Pig,1974,South Africa,
Daphne du Maurier,Rebecca,1938,southern England,
John D. MacDonald,The Dreadful Lemon Sky,1975,Florida,
Thomas Harris,Red Dragon,1981,St. Louis,
Fyodor Dostoyevsky,Crime and Punishment,1866,St. Petersburg,
Maj Sjwall & Per Wahl,The Laughing Policeman,1968,Stockholm,
Ken Follett,Eye of the Needle,1978,Storm Island,
Mary Roberts Rinehart,The Circular Staircase,1908,Sunnyside PA,
Thomas Harris,The Silence of the Lambs,1988,Tennessee,
Jim Thompson,The Killer Inside Me,1952,Texas,
Dorothy L. Sayers,The Nine Tailors,1934,The Fens,
Scott Turow,Presumed Innocent,1987,The midwest,
Craig Rice,Home Sweet Homicide,1944,The midwest,
Robert Traver,Anatomy of a Murder,1958,UP,
Graham Greene,The Third Man,1950,Vienna,
Nicholas Meyer,The Seven Per-Cent Solution,1974,Vienna,
Agatha Christie,Murder on the Orient Express,1934,Vinkovci,
Dorothy L. Sayers,Clouds of Witness,1927,Yorkshire,
